"state","year","gross_inv","ipd","gross_inv_chain","population","inv_ch_x_pop"
"pennsylvania","2013",4856.406,663900.8,4732.282,12.776621,370.386035556662
"rhode island","2013",213.486,53209.9,208.029,1.055122,197.161086585248
"south carolina","2013",595.345,183014.9,580.128,4.764153,121.769389018363
"south dakota","2013",548.579,44814.9,534.558,0.84227,634.663468958885
"tennessee","2013",1248.478,292803.9,1216.568,6.493432,187.353621320744
"texas","2013",7466.613,1502249.8,7275.775,26.489464,274.666750523906
"utah","2013",735.057,134252.1,716.27,2.897927,247.166336488117
"vermont","2013",192.779,29098.8,187.852,0.626212,299.981475921892
"virginia","2013",1728.475,455070,1684.297,8.253053,204.0816895275
"washington","2013",2295.405,419345,2236.737,6.962906,321.236133304112
"west virginia","2013",625.817,71037.6,609.822,1.853873,328.944862997627
"wisconsin","2013",1795.073,282384.6,1749.193,5.736952,304.899361193888
"wyoming","2013",332.806,38922.5,324.3,0.582123,557.098757479089
"alabama","2014",1149.428,194211,1106.495,4.842481,228.497540826696
"alaska","2014",633.767,55523.4,610.094,0.736307,828.586445599458
"arizona","2014",1221.141,284430,1175.529,6.73384,174.570378862581
"arkansas","2014",814.611,117336.7,784.183,2.967726,264.236994924734
"california","2014",7044.734,2395162.3,6781.6,38.625139,175.574772688844
"colorado","2014",1107.547,306571.1,1066.178,5.351218,199.240247734254
"connecticut","2014",770.756,248865.2,741.967,3.594783,206.401053971825
"delaware","2014",470.045,66891,452.488,0.932596,485.191873008248
"district of columbia","2014",341.18,119841,328.436,0.662513,495.742725048414
"florida","2014",5137.043,839484.1,4945.164,19.86033,248.997071045647
"georgia","2014",2028.444,485816.7,1952.677,10.069001,193.92956659752
"hawaii","2014",294.608,77854.3,283.604,1.414862,200.446403960245
"idaho","2014",429.705,63521.8,413.655,1.631479,253.54601560915
"illinois","2014",4554.935,765347.7,4384.8,12.888962,340.198070255774
"indiana","2014",1550.835,324934.5,1492.909,6.593533,226.420190814242
"iowa","2014",1188.198,171561,1143.817,3.109504,367.845482752233
"kansas","2014",874.104,148225.6,841.455,2.900896,290.067275765832
"kentucky","2014",1592.75,186523,1533.258,4.414483,347.324477181133
"louisiana","2014",1373.7,238679.5,1322.39,4.644204,284.73986069518
"maine","2014",352.725,55795.4,339.55,1.33076,255.15494905167
"maryland","2014",1338.629,352046.7,1288.629,5.958165,216.279508875635
"massachusetts","2014",1351.317,473279,1300.843,6.763652,192.328493541655
"michigan","2014",1173.076,449127.7,1129.259,9.930589,113.715208634654
"minnesota","2014",2195.512,319778.7,2113.506,5.451522,387.690997119703
"mississippi","2014",799.075,104146,769.228,2.990623,257.213296359989
"missouri","2014",1175.513,284712.5,1131.605,6.056293,186.847796168382
"montana","2014",450.103,44495.7,433.291,1.021891,424.009018574388
"nebraska","2014",809.437,111161.7,779.203,1.879522,414.575088772571
"nevada","2014",728.686,135153.2,701.469,2.819012,248.835052848303
"new hampshire","2014",286.474,72340.1,275.774,1.333223,206.847616640277
"new jersey","2014",2602.168,546686.5,2504.972,8.86678,282.512028041747
"new mexico","2014",550.452,92480.7,529.892,2.090342,253.495361046183
"new york","2014",5461.202,1427495.2,5257.216,19.65633,267.456641193956
"north carolina","2014",2356.883,475994.6,2268.849,9.933944,228.393576609653
"north dakota","2014",913.002,58650,878.9,0.737382,1191.91952068263
"ohio","2014",2855.378,593355.1,2748.724,11.602973,236.898250129514
"oklahoma","2014",1289.14,195023.2,1240.988,3.878367,319.976938747674
"oregon","2014",726.242,188880.2,699.116,3.964106,176.361580643908
"pennsylvania","2014",5166.92,691187.5,4973.926,12.789101,388.919127310043
"rhode island","2014",214.494,54427.3,206.483,1.056017,195.529996202713
"south carolina","2014",699.764,191938.2,673.627,4.823793,139.646746864967
"south dakota","2014",557.26,46046.5,536.445,0.849088,631.78963782317
"tennessee","2014",1203.824,303809,1158.859,6.540826,177.173188829668
"texas","2014",7666.535,1572818.4,7380.175,26.977142,273.571418351136
"utah","2014",674.305,141259.7,649.118,2.937399,220.983938511588
"vermont","2014",205.618,29701.3,197.937,0.625218,316.588773835686
"virginia","2014",1805.158,463477.6,1737.732,8.312076,209.061129854924
"washington","2014",2226.892,442201.3,2143.713,7.052439,303.967606100528
"west virginia","2014",600.257,71919.2,577.837,1.849467,312.434339190697
"wisconsin","2014",1655.667,293884.6,1593.825,5.751974,277.091829691859
"wyoming","2014",331.76,39436.1,319.368,0.582548,548.226068924792
"alabama","2015",1162.773,200402.7,1119.064,4.85316,230.584608790973
"alaska","2015",737.5,50641.6,709.777,0.737547,962.348162218815
"arizona","2015",1254.431,297141.2,1207.277,6.833596,176.66789198542
"arkansas","2015",868.876,118761.2,836.215,2.978407,280.759144065939
"california","2015",6631.776,2553772.2,6382.483,38.953142,163.850274260289
"colorado","2015",1149.839,318554.9,1106.616,5.452107,202.970337889554
"connecticut","2015",864.729,260072.6,832.223,3.587509,231.977954619765
"delaware","2015",488.129,70969.4,469.78,0.941413,499.015841081438
"district of columbia","2015",276.132,125211.9,265.752,0.675254,393.558572033635
"florida","2015",5593.332,895146.2,5383.076,20.224249,266.169389033927
"georgia","2015",2221.086,513565.6,2137.594,10.181111,209.956850485178
"hawaii","2015",321.505,82710,309.42,1.422484,217.520900059333
